x,x,0,118,0,119,0,x,x,x,0,0,106,x,96,0,0,x,x,x,0,0,76,75,0
x,x,116,117,0,120,121,x,x,x,0,107,105,x,0,95,94,x,x,x,0,78,77,74,73
x,x,115,124,0,123,122,x,x,x,108,0,104,x,97,0,93,x,x,x,0,79,80,81,72
x,x,114,113,0,112,111,x,41,x,109,110,103,x,98,99,92,x,56,x,0,68,69,70,71
x,x,0,125,0,0,0,x,40,x,100,101,102,x,89,90,91,x,57,x,0,58,59,82,0
x,x,x,x,x,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x
x,x,x,x,x,36,35,0,39,0,42,43,44,49,50,51,52,0,53,0,54,55,60,0,x
133,132,131,128,127,34,x,x,x,x,x,x,45,48,87,x,85,x,83,0,63,62,61,0,x
134,135,130,129,126,33,x,x,x,x,x,x,46,47,88,x,86,x,84,64,65,66,67,0,x
136,0,0,23,24,25,26,0,27,0,28,29,30,x,x,x,x,x,x,x,x,x,x,x,x
137,138,0,0,0,x,x,x,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,0,21,22,x,x,x,x,x,32,31,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,0,20,16,15,0,14,0,13,12,1,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,140,139,17,x,x,x,x,x,11,2,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,141,142,18,x,x,x,x,x,10,3,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,19,0,0,0,0,0,9,4,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,0,0,0,0,0,8,0,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,0,0,0,0,0,7,6,5,x,x,x,x,x,x,x,x,x,x,x,x
