x,x,x,0,7,0,8,0,11,0,14,0,19,0,20,0,23,x,x
x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x
2,0,3,0,6,0,9,0,12,0,15,0,18,0,21,0,24,x,x
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x
1,0,4,0,5,0,10,0,13,0,16,0,17,0,22,0,25,x,x
x,x,x,x,x,x,x,0,x,x,x,x,x,0,0,0,0,x,x
x,x,x,x,x,x,26,0,x,x,x,x,x,27,0,28,0,x,x
x,x,x,x,x,x,0,0,x,x,x,x,x,0,0,0,0,x,x
x,x,x,x,x,x,35,0,x,x,x,x,x,0,0,29,0,x,x
x,x,x,x,x,x,0,0,x,x,x,x,x,30,0,0,0,x,x
x,x,x,x,x,x,0,0,34,0,33,0,32,0,31,0,0,x,x
x,x,x,x,x,x,x,36,38,x,40,42,x,44,46,x,0,x,x
x,x,x,x,x,x,x,0,0,x,0,0,x,0,0,x,0,x,x
x,x,x,x,x,x,x,37,39,x,41,43,x,45,47,x,0,x,x
